Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,196.832,768.681,2237.74,486.409,9.99E+09,9.99E+09,21.0881,18.4273,-13.8236,-1,0.873825,-78.3962,80.2736
0,198.249,1108.18,1784.25,563.106,9.99E+09,9.99E+09,22.2199,19.2619,-14.3252,-1,0.866877,-85.9741,102.727
0,194.697,1125.94,2961.55,808.029,9.99E+09,9.99E+09,22.0394,19.2272,-14.3318,-1,0.872402,-82.775,108.065
0,195.776,777.91,1770.67,1736.16,9.99E+09,9.99E+09,22.2581,18.9792,-13.9273,-1,0.85269,-86.7873,85.6331
0,195.848,674.993,778.112,1137.29,9.99E+09,9.99E+09,21.3704,19.2342,-13.7432,-1,0.90004,-84.3363,98.3648
0,199.417,736.726,2372.91,1183.12,9.99E+09,9.99E+09,22.104,18.72,-13.8449,-1,0.846902,-88.5098,45.717
0,204.289,1164.39,1242,2356.94,9.99E+09,9.99E+09,21.9697,18.9269,-14.3471,-1,0.861499,-82.1491,78.7393
0,201.183,875.82,834.891,2548.7,9.99E+09,9.99E+09,21.896,19.0677,-14.0424,-1,0.870831,-82.9991,95.3677
0,203.08,757.738,2304.41,2630.86,9.99E+09,9.99E+09,21.9838,18.6589,-13.86,-1,0.848759,-88.3615,73.472
0,187.198,640.063,1811.03,3637.23,9.99E+09,9.99E+09,22.063,18.8467,-13.6962,-1,0.854224,88.4958,60.3733
0,198.994,841.739,3148.24,1200.42,9.99E+09,9.99E+09,21.5141,18.606,-13.9491,-1,0.864829,-86.5838,59.4734
0,197.804,1299.28,1636.09,2042.43,9.99E+09,9.99E+09,22.158,19.3992,-14.503,-1,0.875492,-84.0911,87.8368
0,196.713,1275.52,3726.07,2992.16,9.99E+09,9.99E+09,22.0521,18.2984,-14.4075,-1,0.829781,88.0826,69.6044
0,205.263,1110.91,488.034,3420.58,9.99E+09,9.99E+09,21.0166,18.6772,-14.2216,-1,0.888685,-75.3916,103.696
0,202.604,1340.37,1019.51,3695.5,9.99E+09,9.99E+09,21.8918,18.9188,-14.4952,-1,0.864193,-84.6891,27.2186
0,188.429,964.522,345.719,1467.23,9.99E+09,9.99E+09,21.9118,19.4449,-14.1701,-1,0.887418,-78.8701,74.0719
0,184.168,465.035,3132.94,1641.1,9.99E+09,9.99E+09,21.8983,18.8668,-13.3424,-1,0.861567,-87.7728,45.5823
0,212.136,1331.01,2195.92,1676.91,9.99E+09,9.99E+09,21.7502,18.9956,-14.4857,-1,0.873351,-86.8492,83.6164
0,200.93,1207.28,750.474,1890.76,9.99E+09,9.99E+09,21.7335,19.2895,-14.3961,-1,0.887547,-81.5872,95.644
0,169.97,830.859,3163.48,3822.98,9.99E+09,9.99E+09,22.6831,18.7555,-14.0039,-1,0.82685,-85.9498,29.6156
0,192.926,392.808,1477.84,2858.32,9.99E+09,9.99E+09,22.0915,18.6934,-13.143,-1,0.846181,-89.5856,85.5514
0,188.105,520.338,3019.08,3026.38,9.99E+09,9.99E+09,22.6499,19.0858,-13.5133,-1,0.842641,-82.4292,96.5091
